sym,ein,entry,xout,exit,qty,net,retpct,reason
LTTS,2021-12-06,5126.434760986479,2022-03-07,4304.8293280122325,4,-3363.3818051791222,-16.40214867638298,MKT_GATE
SKFINDIA,2022-01-04,3577.5139122253545,2022-03-07,3080.2065742376813,28,-14241.938394823239,-14.217712898887882,MKT_GATE
SRF,2022-02-03,2445.1147610012627,2022-03-07,2163.5561219000133,47,-13599.182218504306,-11.833567370182784,MKT_GATE
RELINFRA,2022-04-06,132.0,2022-05-10,113.30000305175781,907,-17336.57630399245,-14.48045195950056,MKT_GATE
RPOWER,2022-04-06,15.550000190734863,2022-05-10,13.75,7703,-14246.021701333506,-11.893325502356264,MKT_GATE
JSWENERGY,2022-04-06,330.420688883008,2022-05-10,273.40119621256366,362,-21010.72188039671,-17.56568826670594,MKT_GATE
TATAPOWER,2022-04-06,266.7499310464098,2022-05-10,222.28357659371585,449,-20336.607186314843,-16.97961517585154,MKT_GATE
ADANIENSOL,2022-04-06,2443.85009765625,2022-05-10,2703.0,49,12277.023394657996,10.252326772843068,MKT_GATE
SOLARINDS,2022-04-06,3020.8151303777913,2022-05-10,2964.820599398018,39,-2576.0047568736736,-2.1865424122839756,MKT_GATE
INDHOTEL,2022-04-06,231.54387672187121,2022-05-10,236.1747808170055,517,1988.8155417857547,1.6613864406961807,MKT_GATE
NATIONALUM,2022-04-06,103.32748817516347,2022-05-10,78.71781853448508,1159,-28880.629705312753,-24.116115222338095,MKT_GATE
SRF,2022-04-06,2667.398018520568,2022-05-10,2252.4691853537106,44,-18622.956714530064,-15.867486340642495,MKT_GATE
MPHASIS,2022-04-06,3029.757539786275,2022-05-10,2416.4834686262025,39,-24277.642481386774,-20.546319142514758,MKT_GATE
MRPL,2022-08-05,70.87013470921343,2022-10-10,58.72097125945125,1502,-18578.96054488223,-17.45372871934609,ROTATION
ADANIENSOL,2022-08-05,3539.800048828125,2022-12-09,2704.89990234375,30,-25366.661607566646,-23.887094617076325,ROTATION
ADANIPOWER,2022-08-05,69.13999938964844,2023-01-09,57.38999938964844,1540,-18426.244497672284,-17.305603030492257,ROTATION
RELINFRA,2022-08-05,122.0,2023-01-09,132.5500030517578,872,8826.722658767112,8.297039647660467,ROTATION
PCJEWELLER,2022-08-05,5.380000114440918,2023-02-08,3.7149999141693115,19792,-33262.119447487516,-31.237621016894312,ROTATION
INDHOTEL,2022-08-05,266.4105112404503,2023-03-10,317.3434100159391,399,19932.537539699322,18.751600378953654,ROTATION
SOLARINDS,2022-08-05,3004.7700535286936,2023-03-10,3737.276421682081,35,25243.512094492587,24.003274455321005,ROTATION
