no,sym,entry_date,entry_px,exit_date,exit_px,qty,buy_value,sell_value,gross_pnl,stt,stamp,exch_gst,slippage,total_cost,net_pnl,net_pct,dp_flat_note,exit_reason
31,ADANIENSOL,2022-08-05,3539.8,2022-12-09,2704.9,0.2825,1000.0,764.14,-235.86,1.76,0.15,0.06,0.88,2.86,-238.72,-23.87,15.93,ROTATION
32,ADANIPOWER,2022-08-05,69.14,2023-01-09,57.39,14.4634,1000.0,830.05,-169.95,1.83,0.15,0.07,0.92,2.96,-172.91,-17.29,15.93,ROTATION
33,RELINFRA,2022-08-05,122.0,2023-01-09,132.55,8.1967,1000.0,1086.48,86.48,2.09,0.15,0.08,1.04,3.36,83.12,8.31,15.93,ROTATION
34,PCJEWELLER,2022-08-05,5.38,2023-02-08,3.71,185.8736,1000.0,690.52,-309.48,1.69,0.15,0.06,0.85,2.75,-312.23,-31.22,15.93,ROTATION
35,INDHOTEL,2022-08-05,266.41,2023-03-10,317.34,3.7536,1000.0,1191.18,191.18,2.19,0.15,0.08,1.1,3.52,187.67,18.77,15.93,ROTATION
36,SOLARINDS,2022-08-05,3004.77,2023-03-10,3737.28,0.3328,1000.0,1243.78,243.78,2.24,0.15,0.08,1.12,3.6,240.18,24.02,15.93,ROTATION
37,KRBL,2023-02-08,366.39,2023-04-13,336.43,2.7293,1000.0,918.22,-81.78,1.92,0.15,0.07,0.96,3.1,-84.88,-8.49,15.93,ROTATION
38,TVSMOTOR,2022-08-05,919.7,2023-06-14,1331.45,1.0873,1000.0,1447.7,447.7,2.45,0.15,0.09,1.22,3.91,443.79,44.38,15.93,ROTATION
39,TIINDIA,2022-08-05,2200.62,2023-06-14,2815.28,0.4544,1000.0,1279.31,279.31,2.28,0.15,0.08,1.14,3.65,275.66,27.57,15.93,ROTATION
40,BANKINDIA,2023-01-09,83.78,2023-07-14,71.13,11.9366,1000.0,849.03,-150.97,1.85,0.15,0.07,0.92,2.99,-153.96,-15.4,15.93,ROTATION
41,VBL,2022-10-10,219.68,2023-08-14,337.74,4.552,1000.0,1537.37,537.37,2.54,0.15,0.09,1.27,4.05,533.32,53.33,15.93,ROTATION
42,HAL,2022-08-05,954.44,2023-09-13,1918.72,1.0477,1000.0,2010.32,1010.32,3.01,0.15,0.11,1.51,4.77,1005.54,100.55,15.93,ROTATION
43,APOLLOTYRE,2023-04-13,312.51,2023-09-13,367.68,3.1999,1000.0,1176.55,176.55,2.18,0.15,0.08,1.09,3.49,173.06,17.31,15.93,ROTATION
