date,sym,side,conv,margin,notional,entry,exit,qty,gross,cost,net,R,hold_bars
2026-05-11,SBIN,S,STD,2500,12500,976.25,974.95,12,16,12,3,0.01,5
2026-05-12,SBIN,S,HIGH,5000,25000,972.65,976.05,25,-85,26,-111,-0.54,1
2026-05-13,INFY,S,HIGH,5000,25000,1098.15,1099.25,22,-24,26,-50,-0.11,7
2026-05-14,INFY,S,STD,2500,12500,1072.75,1070.65,11,23,13,11,0.04,7
2026-05-15,HDFCBANK,S,HIGH,5000,25000,767.45,767.15,32,10,26,-16,-0.04,5
2026-05-21,RELIANCE,S,STD,2500,12500,1353.15,1353.85,9,-6,13,-19,-0.12,12
2026-05-21,HDFCBANK,S,HIGH,5000,25000,760.60,759.30,32,42,26,16,0.06,2
2026-05-21,RELIANCE,S,STD,2500,12500,1352.15,1347.05,9,46,13,33,0.20,2
2026-05-26,SBIN,S,STD,2500,12500,966.75,969.15,12,-29,12,-41,-0.34,8
2026-05-27,HDFCBANK,S,HIGH,5000,25000,758.00,758.55,32,-18,26,-43,-0.09,6
2026-05-27,ICICIBANK,S,STD,2500,12500,1267.05,1271.65,9,-41,12,-54,-0.30,6
2026-05-29,ICICIBANK,S,HIGH,5000,25000,1269.65,1253.76,19,302,25,276,0.80,6
2026-06-01,SBIN,S,STD,2500,12500,952.50,954.60,13,-27,13,-40,-0.18,7
2026-06-09,BHARTIARTL,S,STD,2500,12500,1802.35,1797.75,6,28,11,16,0.08,7
2026-06-10,RELIANCE,S,STD,2500,12500,1262.95,1258.05,9,44,12,32,0.12,6
2026-06-11,ICICIBANK,L,HIGH,5000,25000,1317.05,1325.45,18,151,25,126,0.23,12
2026-06-11,ICICIBANK,L,HIGH,5000,25000,1316.55,1315.95,18,-11,25,-36,-0.07,2
2026-06-12,ICICIBANK,L,STD,2500,12500,1338.85,1340.35,9,14,13,1,0.01,8
2026-06-15,HDFCBANK,S,STD,2500,12500,780.20,778.00,16,35,13,22,0.10,6
2026-06-19,BHARTIARTL,L,STD,2500,12500,1903.05,1912.85,6,59,12,47,0.22,7
